Region;#Frame;ID;Left;Width;Depth
0;0;0;32;2528;255
0;1;1;32;2528;255
0;4;2;48;16;255
0;4;3;144;16;255
0;4;4;208;16;255
0;4;5;288;16;255
0;4;6;656;16;255
0;4;7;1184;32;255
0;4;8;1488;32;255
0;4;9;1568;16;255
0;4;10;1744;16;255
0;4;11;2384;16;255
0;4;12;2464;16;255
0;57;13;2464;32;127
0;58;14;2384;112;127
0;58;15;2512;32;127
0;59;16;2240;128;127
0;59;17;2384;96;127
0;60;18;2112;64;127
0;60;19;2192;32;127
0;60;20;2416;16;127
0;61;21;1968;16;127
0;61;22;2064;16;127
0;62;23;1952;48;127
0;62;24;2096;16;127
0;63;25;1824;16;127
0;63;26;1872;16;127
0;63;27;1968;32;127
0;64;28;1744;48;127
0;64;29;1872;16;127
0;64;30;1952;16;127
0;64;31;2192;16;127
0;65;32;1952;32;127
0;65;33;2048;16;127
0;65;34;2096;16;127
0;65;35;2192;16;127
