Region;#Frame;ID;Left;Width;Depth
0;0;0;32;2528;255
0;1;1;32;2528;255
0;4;2;48;16;255
0;4;3;144;16;255
0;4;4;208;16;255
0;4;5;288;16;255
0;4;6;656;16;255
0;4;7;1184;32;255
0;4;8;1488;32;255
0;4;9;1568;16;255
0;4;10;1744;16;255
0;4;11;2384;16;255
0;4;12;2464;16;255
0;57;13;2464;32;127
0;58;14;2384;112;127
0;58;15;2512;32;127
0;59;16;2240;128;127
0;59;17;2384;96;127
0;60;18;2112;64;127
0;60;19;2192;32;127
0;60;20;2416;16;127
0;61;21;1968;16;127
0;61;22;2064;16;127
0;62;23;1952;48;127
0;62;24;2096;16;127
0;63;25;1824;16;127
0;63;26;1872;16;127
0;63;27;1968;32;127
0;64;28;1744;48;127
0;64;29;1872;16;127
0;64;30;1952;16;127
0;64;31;2192;16;127
0;65;32;1952;32;127
0;65;33;2048;16;127
0;65;34;2096;16;127
0;65;35;2192;16;127
0;66;36;1952;32;127
0;66;37;2048;16;127
0;66;38;2192;16;127
0;67;39;1776;16;127
0;67;40;1872;16;127
0;67;41;1904;16;127
0;67;42;1952;32;127
0;67;43;2048;16;127
0;68;44;1712;16;127
0;68;45;1744;16;127
0;68;46;1776;16;127
0;68;47;1904;16;127
0;69;48;1520;128;127
0;69;49;1696;32;127
0;70;50;1392;208;127
0;70;51;1616;32;127
0;71;52;1280;272;127
0;72;53;1168;80;127
0;72;54;1264;176;127
0;73;55;1056;16;127
0;73;56;1104;16;127
0;73;57;1168;80;127
0;73;58;1280;16;127
0;74;59;1008;16;127
0;76;60;832;16;127
Region;#Frame;ID;Left;Width;Depth
0;0;0;32;2528;255
0;1;1;32;2528;255
0;4;2;48;16;255
0;4;3;144;16;255
0;4;4;208;16;255
0;4;5;288;16;255
0;4;6;656;16;255
0;4;7;1184;32;255
0;4;8;1488;32;255
0;4;9;1568;16;255
0;4;10;1744;16;255
0;4;11;2384;16;255
0;4;12;2464;16;255
0;57;13;2464;32;127
0;58;14;2384;112;127
0;58;15;2512;32;127
0;59;16;2240;128;127
0;59;17;2384;96;127
0;60;18;2112;64;127
0;60;19;2192;32;127
0;60;20;2416;16;127
0;61;21;1968;16;127
0;61;22;2064;16;127
0;62;23;1952;48;127
0;62;24;2096;16;127
0;63;25;1824;16;127
0;63;26;1872;16;127
0;63;27;1968;32;127
0;64;28;1744;48;127
0;64;29;1872;16;127
0;64;30;1952;16;127
0;64;31;2192;16;127
0;65;32;1952;32;127
0;65;33;2048;16;127
0;65;34;2096;16;127
0;65;35;2192;16;127
0;66;36;1952;32;127
0;66;37;2048;16;127
0;66;38;2192;16;127
0;67;39;1776;16;127
0;67;40;1872;16;127
0;67;41;1904;16;127
0;67;42;1952;32;127
0;67;43;2048;16;127
0;68;44;1712;16;127
0;68;45;1744;16;127
0;68;46;1776;16;127
0;68;47;1904;16;127
0;69;48;1520;128;127
0;69;49;1696;32;127
0;70;50;1392;208;127
0;70;51;1616;32;127
0;71;52;1280;272;127
0;72;53;1168;80;127
0;72;54;1264;176;127
0;73;55;1056;16;127
0;73;56;1104;16;127
0;73;57;1168;80;127
0;73;58;1280;16;127
0;74;59;1008;16;127
0;76;60;832;16;127
0;296;61;2464;32;127
0;297;62;2304;16;127
0;297;63;2400;16;127
0;297;64;2464;16;127
0;298;65;2400;32;127
0;298;66;2464;16;127
0;299;67;2272;16;127
0;299;68;2400;16;127
0;300;69;2256;64;127
0;300;70;2400;16;127
0;300;71;2464;16;127
0;301;72;2256;16;127
0;301;73;2288;48;127
0;301;74;2400;16;127
0;302;75;2256;16;127
0;302;76;2288;16;127
0;302;77;2320;32;127
0;302;78;2400;32;127
0;303;79;2256;96;127
0;304;80;2224;16;127
0;304;81;2256;96;127
0;305;82;2224;16;127
0;305;83;2256;80;127
0;306;84;2240;32;127
0;306;85;2288;16;127
0;306;86;2336;16;127
0;307;87;2080;16;127
0;307;88;2336;16;127
0;308;89;2080;16;127
0;308;90;2288;16;127
0;309;91;2256;16;127
0;311;92;2096;16;127
0;313;93;1952;16;127
0;313;94;1984;16;127
0;314;95;1968;32;127
0;315;96;1952;48;127
0;315;97;2064;16;127
0;316;98;1968;32;127
0;320;99;2192;16;127
0;322;100;2048;16;127
0;324;101;2048;16;127
0;325;102;2048;16;127
0;326;103;2048;16;127
0;329;104;1696;16;127
0;331;105;1664;16;127
0;331;106;1696;16;127
0;331;107;1760;16;127
0;332;108;1664;16;127
0;332;109;1696;32;127
0;333;110;1536;16;127
0;333;111;1568;32;127
0;333;112;1616;16;127
0;333;113;1664;16;127
0;333;114;1696;32;127
0;334;115;1520;32;127
0;334;116;1568;32;127
0;334;117;1616;16;127
0;334;118;1664;16;127
0;334;119;1696;32;127
0;335;120;1504;96;127
0;335;121;1616;16;127
0;336;122;1392;16;127
0;336;123;1440;16;127
0;336;124;1472;80;127
0;336;125;1568;32;127
0;336;126;1616;32;127
0;337;127;1376;80;127
0;337;128;1472;80;127
0;337;129;1568;16;127
0;337;130;1616;16;127
0;338;131;1376;224;127
0;339;132;1376;176;127
0;339;133;1568;16;127
0;340;134;1376;176;127
0;341;135;1264;32;127
0;341;136;1344;160;127
0;341;137;1520;16;127
0;342;138;1344;128;127
0;343;139;1312;144;127
0;344;140;1200;32;127
0;344;141;1280;144;127
0;345;142;1168;80;127
0;345;143;1280;128;127
0;346;144;1168;80;127
0;346;145;1264;48;127
0;346;146;1344;32;127
0;347;147;1152;80;127
0;347;148;1280;16;127
0;348;149;1104;16;127
0;348;150;1152;96;127
0;349;151;1056;16;127
0;349;152;1104;16;127
0;349;153;1168;32;127
0;350;154;1008;32;127
0;350;155;1056;16;127
0;350;156;1104;16;127
0;350;157;1184;16;127
0;351;158;1008;16;127
0;351;159;1040;32;127
0;352;160;1008;64;127
0;353;161;960;16;127
0;353;162;1008;16;127
0;354;163;960;16;127
0;354;164;1008;16;127
0;355;165;832;16;127
0;356;166;768;32;127
0;356;167;960;32;127
0;357;168;784;16;127
0;357;169;816;16;127
0;357;170;864;16;127
0;358;171;768;32;127
0;358;172;832;16;127
0;359;173;816;16;127
0;360;174;816;32;127
0;376;175;464;16;127
0;381;176;1616;16;127
0;382;177;1520;16;127
0;383;178;1472;64;127
0;384;179;1392;16;127
0;384;180;1440;112;127
0;385;181;1376;160;127
0;386;182;1376;112;127
0;386;183;1520;32;127
0;387;184;1328;128;127
0;388;185;1328;112;127
0;389;186;1216;32;127
0;389;187;1264;176;127
0;390;188;1184;80;127
0;390;189;1312;96;127
0;391;190;1168;80;127
0;391;191;1280;16;127
0;391;192;1328;80;127
0;392;193;1104;16;127
0;392;194;1152;96;127
0;392;195;1280;32;127
0;392;196;1344;16;127
0;393;197;1056;16;127
0;393;198;1104;16;127
0;393;199;1136;128;127
0;393;200;1280;16;127
0;394;201;288;16;127
0;394;202;1056;64;127
0;394;203;1136;112;127
0;394;204;1280;16;127
0;395;205;1056;64;127
0;395;206;1152;96;127
0;395;207;1280;16;127
0;396;208;416;16;127
0;396;209;1008;16;127
0;396;210;1040;80;127
0;396;211;1136;112;127
0;397;212;976;16;127
0;397;213;1008;112;127
0;397;214;1136;112;127
0;398;215;960;32;127
0;398;216;1008;112;127
0;398;217;1152;80;127
0;399;218;960;160;127
0;399;219;1136;96;127
0;400;220;960;272;127
0;401;221;960;272;127
0;402;222;944;288;127
0;403;223;928;304;127
0;404;224;912;320;127
0;405;225;912;208;127
0;405;226;1136;96;127
0;406;227;912;320;127
0;407;228;912;32;127
0;407;229;960;160;127
0;407;230;1136;80;127
0;408;231;896;320;127
0;409;232;896;224;127
0;409;233;1136;16;127
0;409;234;1168;48;127
0;410;235;896;224;127
0;410;236;1136;16;127
0;411;237;912;208;127
0;411;238;1136;16;127
0;412;239;912;208;127
0;413;240;864;240;127
0;414;241;864;176;127
0;415;242;784;16;127
0;415;243;864;32;127
0;415;244;912;16;127
0;468;245;128;48;127
0;469;246;144;16;127
0;629;247;2464;16;127
0;630;248;2384;16;127
0;630;249;2432;48;127
0;631;250;2384;16;127
0;631;251;2464;16;127
0;643;252;2192;16;127
0;644;253;1904;16;127
0;644;254;1952;32;127
0;644;255;2048;16;127
0;645;256;1856;32;127
0;645;257;1904;16;127
0;645;258;1952;32;127
0;645;259;2048;16;127
0;646;260;1744;16;127
0;646;261;1776;16;127
0;646;262;1856;32;127
0;646;263;1904;16;127
0;647;264;1744;16;127
0;647;265;1776;16;127
0;647;266;1856;32;127
0;647;267;1904;16;127
0;648;268;1616;16;127
0;648;269;1664;16;127
0;648;270;1744;16;127
0;648;271;1776;16;127
0;649;272;1440;32;127
0;649;273;1504;48;127
0;649;274;1568;32;127
0;649;275;1616;16;127
0;649;276;1696;16;127
0;650;277;1360;128;127
0;650;278;1520;32;127
0;651;279;1264;16;127
0;651;280;1328;144;127
0;652;281;1200;16;127
0;652;282;1232;16;127
0;652;283;1264;144;127
0;653;284;1184;32;127
0;653;285;1264;16;127
0;677;286;432;16;127
0;678;287;352;16;127
0;843;288;2448;32;127
0;844;289;2384;16;127
0;844;290;2448;64;127
0;845;291;2304;16;127
0;845;292;2384;64;127
0;845;293;2464;16;127
0;846;294;2384;16;127
0;846;295;2432;16;127
0;847;296;2384;64;127
0;851;297;2192;16;127
0;853;298;2048;16;127
0;853;299;2176;32;127
0;854;300;2048;16;127
0;854;301;2096;16;127
0;854;302;2176;32;127
0;854;303;2240;16;127
0;855;304;2048;32;127
0;855;305;2096;16;127
0;855;306;2176;32;127
0;855;307;2240;32;127
0;856;308;1952;32;127
0;856;309;2048;32;127
0;856;310;2096;16;127
0;856;311;2176;32;127
0;857;312;1872;16;127
0;857;313;1904;16;127
0;857;314;1952;32;127
0;857;315;2048;16;127
0;857;316;2096;16;127
0;858;317;1776;16;127
0;858;318;1856;32;127
0;858;319;1904;16;127
0;858;320;1952;32;127
0;858;321;2048;16;127
0;859;322;1696;96;127
0;859;323;1856;32;127
0;859;324;1904;16;127
0;859;325;1952;16;127
0;860;326;1616;16;127
0;860;327;1664;16;127
0;860;328;1696;96;127
0;860;329;1856;32;127
0;861;330;1520;32;127
0;861;331;1568;80;127
0;861;332;1664;16;127
0;861;333;1696;96;127
0;862;334;1456;192;127
0;862;335;1664;16;127
0;862;336;1696;16;127
0;863;337;1376;224;127
0;863;338;1616;16;127
0;864;339;1264;304;127
0;865;340;1184;320;127
0;866;341;1152;256;127
0;867;342;1136;16;127
0;867;343;1168;160;127
0;868;344;1008;16;127
0;868;345;1040;32;127
0;868;346;1088;32;127
0;868;347;1136;16;127
0;868;348;1168;80;127
0;869;349;912;16;127
0;869;350;960;16;127
0;869;351;1008;32;127
0;869;352;1056;32;127
0;869;353;1104;16;127
0;869;354;1168;48;127
0;870;355;912;16;127
0;870;356;960;16;127
0;870;357;1008;32;127
0;870;358;1056;32;127
0;871;359;784;16;127
0;871;360;816;32;127
0;871;361;912;16;127
0;871;362;960;16;127
0;871;363;1008;16;127
0;872;364;752;48;127
0;872;365;816;32;127
0;872;366;864;16;127
0;872;367;928;16;127
0;873;368;736;64;127
0;873;369;832;16;127
0;874;370;768;32;127
0;874;371;832;16;127
0;879;372;80;16;127
0;888;373;288;16;127
0;889;374;224;16;127
0;889;375;256;48;127
0;889;376;416;16;127
0;890;377;240;16;127
0;890;378;272;32;127
0;890;379;320;16;127
0;890;380;400;16;127
0;891;381;240;16;127
0;891;382;272;32;127
0;891;383;320;16;127
0;1603;384;2192;16;127
0;1604;385;2096;16;127
0;1605;386;1904;16;127
0;1605;387;1968;16;127
0;1606;388;1744;48;127
0;1606;389;1856;16;127
0;1607;390;1696;32;127
0;1607;391;1744;16;127
0;1607;392;1776;16;127
0;1608;393;1536;16;127
0;1608;394;1568;32;127
0;1608;395;1616;16;127
0;1609;396;1376;96;127
0;1609;397;1504;16;127
0;1610;398;1264;16;127
0;1610;399;1328;128;127
0;1611;400;1264;16;127
0;1630;401;352;16;127
0;1704;402;304;16;127
0;1705;403;352;16;127
0;1711;404;80;16;127
0;1712;405;816;16;127
0;1713;406;96;32;127
0;1721;407;768;16;127
0;1721;408;816;32;127
0;1722;409;816;32;127
0;1722;410;864;16;127
0;1723;411;816;64;127
0;1723;412;1008;16;127
0;1724;413;816;48;127
0;1724;414;960;16;127
0;1724;415;1008;16;127
0;1724;416;1056;16;127
0;1724;417;1264;16;127
0;1725;418;816;64;127
0;1725;419;960;16;127
0;1725;420;1008;16;127
0;1725;421;1056;32;127
0;1725;422;1264;16;127
0;1726;423;816;32;127
0;1726;424;864;16;127
0;1726;425;960;16;127
0;1726;426;1008;32;127
0;1726;427;1056;32;127
0;1726;428;1184;16;127
0;1726;429;1264;16;127
0;1727;430;960;32;127
0;1727;431;1008;80;127
0;1727;432;1152;64;127
0;1727;433;1264;16;127
0;1728;434;960;16;127
0;1728;435;1008;64;127
0;1728;436;1104;16;127
0;1728;437;1152;80;127
0;1729;438;960;16;127
0;1729;439;1008;80;127
0;1729;440;1152;80;127
0;1729;441;1360;48;127
0;1730;442;960;16;127
0;1730;443;1008;64;127
0;1730;444;1152;80;127
0;1730;445;1344;64;127
0;1731;446;1008;16;127
0;1731;447;1040;48;127
0;1731;448;1104;16;127
0;1731;449;1152;96;127
0;1731;450;1296;32;127
0;1731;451;1344;96;127
0;1732;452;1008;16;127
0;1732;453;1040;48;127
0;1732;454;1104;16;127
0;1732;455;1152;112;127
0;1732;456;1296;16;127
0;1732;457;1328;128;127
0;1733;458;1056;16;127
0;1733;459;1104;16;127
0;1733;460;1152;320;127
0;1734;461;1056;16;127
0;1734;462;1088;32;127
0;1734;463;1152;320;127
0;1735;464;1104;16;127
0;1735;465;1152;368;127
0;1736;466;1184;368;127
0;1736;467;1568;16;127
0;1737;468;1184;32;127
0;1737;469;1232;368;127
0;1738;470;1184;32;127
0;1738;471;1232;368;127
0;1738;472;1616;16;127
0;1739;473;1184;32;127
0;1739;474;1232;368;127
0;1739;475;1616;16;127
0;1739;476;1664;16;127
0;1740;477;1184;32;127
0;1740;478;1232;368;127
0;1740;479;1616;16;127
0;1740;480;1664;32;127
0;1740;481;1760;16;127
0;1741;482;1200;16;127
0;1741;483;1232;368;127
0;1741;484;1616;112;127
0;1741;485;1744;16;127
0;1741;486;1856;16;127
0;1742;487;1232;320;127
0;1742;488;1568;32;127
0;1742;489;1616;32;127
0;1742;490;1664;128;127
0;1743;491;1200;16;127
0;1743;492;1232;368;127
0;1743;493;1616;32;127
0;1743;494;1664;128;127
0;1743;495;1888;16;127
0;1744;496;1232;16;127
0;1744;497;1264;336;127
0;1744;498;1616;32;127
0;1744;499;1664;144;127
0;1744;500;1856;32;127
0;1745;501;1264;368;127
0;1745;502;1664;144;127
0;1745;503;1824;16;127
0;1745;504;1856;80;127
0;1746;505;1264;368;127
0;1746;506;1664;144;127
0;1746;507;1824;96;127
0;1747;508;1264;368;127
0;1747;509;1664;272;127
0;1748;510;1328;320;127
0;1748;511;1664;272;127
0;1748;512;1952;32;127
0;1749;513;1344;592;127
0;1749;514;1952;32;127
0;1750;515;1376;432;127
0;1750;516;1824;112;127
0;1750;517;1952;32;127
0;1751;518;1424;560;127
0;1751;519;2048;32;127
0;1752;520;1488;160;127
0;1752;521;1664;336;127
0;1752;522;2048;32;127
0;1752;523;2096;16;127
0;1753;524;1520;480;127
0;1753;525;2048;64;127
0;1754;526;1568;416;127
0;1754;527;2048;80;127
0;1755;528;1584;352;127
0;1755;529;1952;64;127
0;1755;530;2048;32;127
0;1755;531;2096;32;127
0;1755;532;2176;32;127
0;1756;533;1616;32;127
0;1756;534;1664;272;127
0;1756;535;1952;64;127
0;1756;536;2048;32;127
0;1756;537;2096;16;127
0;1756;538;2176;32;127
0;1757;539;1664;368;127
0;1757;540;2048;64;127
0;1757;541;2176;32;127
0;1758;542;1680;304;127
0;1758;543;2048;32;127
0;1758;544;2096;16;127
0;1758;545;2176;32;127
0;1758;546;2240;48;127
0;1759;547;1744;288;127
0;1759;548;2048;32;127
0;1759;549;2096;16;127
0;1759;550;2176;32;127
0;1759;551;2240;32;127
0;1759;552;2288;16;127
0;1760;553;1776;224;127
0;1760;554;2048;32;127
0;1760;555;2096;16;127
0;1760;556;2176;32;127
0;1760;557;2240;32;127
0;1760;558;2336;16;127
0;1761;559;1808;208;127
0;1761;560;2048;80;127
0;1761;561;2176;32;127
0;1761;562;2240;80;127
0;1762;563;1856;160;127
0;1762;564;2048;80;127
0;1762;565;2176;32;127
0;1762;566;2240;64;127
0;1763;567;1872;160;127
0;1763;568;2048;32;127
0;1763;569;2096;32;127
0;1763;570;2176;32;127
0;1763;571;2240;96;127
0;1764;572;1904;128;127
0;1764;573;2048;80;127
0;1764;574;2176;32;127
0;1764;575;2240;96;127
0;1764;576;2464;16;127
0;1765;577;1936;192;127
0;1765;578;2176;32;127
0;1765;579;2240;80;127
0;1765;580;2464;16;127
0;1766;581;1968;160;127
0;1766;582;2176;32;127
0;1766;583;2288;48;127
0;1766;584;2464;16;127
0;1767;585;1984;160;127
0;1767;586;2176;32;127
0;1767;587;2240;96;127
0;1767;588;2464;16;127
0;1767;589;2512;16;127
0;1768;590;2032;112;127
0;1768;591;2176;32;127
0;1768;592;2272;64;127
0;1768;593;2384;16;127
0;1768;594;2464;16;127
0;1768;595;2512;16;127
0;1769;596;2064;272;127
0;1769;597;2352;16;127
0;1769;598;2464;16;127
0;1769;599;2512;32;127
0;1770;600;2112;240;127
0;1770;601;2448;32;127
0;1770;602;2528;16;127
0;1771;603;2128;240;127
0;1771;604;2432;80;127
0;1772;605;2192;176;127
0;1772;606;2400;16;127
0;1772;607;2448;32;127
0;1772;608;2496;32;127
0;1773;609;1968;16;127
0;1773;610;2224;208;127
0;1773;611;2448;48;127
0;1773;612;2528;16;127
0;1774;613;1968;16;127
0;1774;614;2272;160;127
0;1774;615;2448;48;127
0;1775;616;1968;16;127
0;1775;617;2096;16;127
0;1775;618;2304;240;127
0;1776;619;2320;16;127
0;1776;620;2352;160;127
0;1776;621;2528;32;127
0;1777;622;1984;16;127
0;1777;623;2384;160;127
0;1778;624;2288;16;127
0;1778;625;2320;48;127
0;1778;626;2400;16;127
0;1778;627;2448;112;127
0;1779;628;2288;80;127
0;1779;629;2384;96;127
0;1779;630;2496;16;127
0;1779;631;2528;32;127
0;1780;632;2256;112;127
0;1780;633;2384;64;127
0;1781;634;2240;96;127
0;1781;635;2352;128;127
0;1782;636;2272;96;127
0;1782;637;2384;112;127
0;1783;638;2272;16;127
0;1783;639;2304;16;127
0;1783;640;2352;64;127
0;1783;641;2448;64;127
0;1784;642;2368;16;127
0;1784;643;2448;64;127
0;1785;644;2352;32;127
0;1785;645;2416;96;127
0;1786;646;2384;160;127
0;1787;647;2464;16;127
0;1787;648;2496;64;127
0;1788;649;2528;16;127
0;1879;650;2464;16;127
0;1880;651;2464;16;127
0;1881;652;2384;16;127
0;1881;653;2448;32;127
0;1882;654;2464;32;127
0;1883;655;2448;32;127
0;1884;656;2464;32;127
0;2044;657;2464;16;127
0;2045;658;2448;48;127
0;2046;659;2288;16;127
0;2046;660;2448;48;127
0;2047;661;2272;48;127
0;2047;662;2384;16;127
0;2047;663;2448;16;127
0;2048;664;2240;16;127
0;2048;665;2272;16;127
0;2048;666;2352;16;127
0;2049;667;2272;16;127
0;2049;668;2304;16;127
0;2050;669;1968;32;127
0;2051;670;1968;48;127
0;2052;671;2000;16;127
0;2053;672;2192;16;127
0;2053;673;2240;16;127
0;2054;674;1824;16;127
0;2054;675;1856;32;127
0;2054;676;1904;16;127
0;2054;677;2048;16;127
0;2054;678;2192;16;127
0;2055;679;1744;16;127
0;2055;680;1808;96;127
0;2055;681;2048;16;127
0;2055;682;2192;16;127
0;2055;683;2240;16;127
0;2056;684;1904;16;127
0;2056;685;2048;16;127
0;2056;686;2192;16;127
0;2057;687;1904;16;127
0;2057;688;2048;16;127
0;2057;689;2192;16;127
0;2057;690;2240;16;127
0;2058;691;1904;16;127
0;2058;692;2048;32;127
0;2058;693;2096;16;127
0;2058;694;2176;32;127
0;2058;695;2240;16;127
0;2059;696;1696;16;127
0;2059;697;1904;16;127
0;2059;698;1952;32;127
0;2059;699;2048;32;127
0;2059;700;2096;16;127
0;2059;701;2176;32;127
0;2060;702;1696;16;127
0;2060;703;1776;16;127
0;2060;704;1904;16;127
0;2060;705;1952;32;127
0;2060;706;2048;32;127
0;2060;707;2096;16;127
0;2060;708;2192;16;127
0;2061;709;1376;32;127
0;2061;710;1616;16;127
0;2061;711;1696;16;127
0;2061;712;1776;16;127
0;2061;713;1856;80;127
0;2061;714;1952;32;127
0;2061;715;2048;64;127
0;2062;716;1376;16;127
0;2062;717;1424;48;127
0;2062;718;1696;16;127
0;2062;719;1744;64;127
0;2062;720;1856;32;127
0;2062;721;1904;32;127
0;2062;722;1952;32;127
0;2062;723;2048;16;127
0;2063;724;1264;32;127
0;2063;725;1440;16;127
0;2063;726;1664;16;127
0;2063;727;1696;112;127
0;2063;728;1856;32;127
0;2063;729;1904;16;127
0;2063;730;1952;16;127
0;2064;731;1584;16;127
0;2064;732;1616;16;127
0;2064;733;1664;144;127
0;2064;734;1856;32;127
0;2065;735;1472;176;127
0;2065;736;1664;128;127
0;2066;737;1376;272;127
0;2066;738;1664;16;127
0;2067;739;1344;288;127
0;2068;740;1264;288;127
0;2068;741;1568;16;127
0;2069;742;1168;320;127
0;2070;743;1152;304;127
0;2071;744;1056;16;127
0;2071;745;1104;16;127
0;2071;746;1152;256;127
0;2072;747;1008;64;127
0;2072;748;1088;16;127
0;2072;749;1168;48;127
0;2072;750;1232;96;127
0;2073;751;960;16;127
0;2073;752;1008;112;127
0;2073;753;1152;64;127
0;2073;754;1232;16;127
0;2073;755;1264;16;127
0;2074;756;912;64;127
0;2074;757;1008;112;127
0;2074;758;1168;32;127
0;2075;759;768;32;127
0;2075;760;816;32;127
0;2075;761;864;16;127
0;2075;762;912;80;127
0;2075;763;1008;112;127
0;2076;764;736;160;127
0;2076;765;928;64;127
0;2076;766;1008;96;127
0;2077;767;736;64;127
0;2077;768;816;80;127
0;2077;769;912;80;127
0;2077;770;1008;64;127
0;2078;771;736;160;127
0;2078;772;912;96;127
0;2079;773;688;32;127
0;2079;774;736;64;127
0;2079;775;816;80;127
0;2079;776;912;80;127
0;2080;777;688;32;127
0;2080;778;736;112;127
0;2080;779;864;96;127
0;2081;780;592;32;127
0;2081;781;688;32;127
0;2081;782;736;192;127
0;2082;783;608;16;127
0;2082;784;672;48;127
0;2082;785;736;160;127
0;2082;786;912;16;127
0;2083;787;656;224;127
0;2084;788;592;16;127
0;2084;789;672;160;127
0;2084;790;848;32;127
0;2084;791;944;16;127
0;2085;792;512;16;127
0;2085;793;608;16;127
0;2085;794;672;16;127
0;2085;795;736;48;127
0;2086;796;464;16;127
0;2086;797;512;16;127
0;2086;798;736;32;127
0;2087;799;416;16;127
0;2087;800;480;16;127
0;2088;801;416;32;127
0;2089;802;80;48;127
0;2089;803;288;16;127
0;2089;804;352;32;127
0;2090;805;32;32;127
0;2090;806;80;48;127
0;2090;807;240;16;127
0;2090;808;272;48;127
0;2090;809;352;16;127
0;2091;810;32;96;127
0;2092;811;48;16;127
0;2092;812;80;48;127
0;2093;813;96;16;127
0;2325;814;2432;128;127
0;2326;815;2320;16;127
0;2326;816;2368;160;127
0;2326;817;2544;16;127
0;2327;818;2256;288;127
0;2328;819;2176;16;127
0;2328;820;2256;256;127
0;2329;821;2144;16;127
0;2329;822;2176;272;127
0;2330;823;2000;16;127
0;2330;824;2112;48;127
0;2330;825;2176;48;127
0;2330;826;2240;80;127
0;2330;827;2384;16;127
0;2331;828;1968;32;127
0;2331;829;2064;48;127
0;2331;830;2144;16;127
0;2331;831;2368;48;127
0;2331;832;2448;64;127
0;2332;833;1968;48;127
0;2332;834;2064;16;127
0;2332;835;2272;144;127
0;2332;836;2448;80;127
0;2333;837;1984;16;127
0;2333;838;2192;224;127
0;2333;839;2448;80;127
0;2334;840;2128;416;127
0;2335;841;2048;512;127
0;2336;842;1952;608;127
0;2337;843;1888;640;127
0;2338;844;1776;704;127
0;2339;845;1728;640;127
0;2340;846;1664;560;127
0;2340;847;2240;32;127
0;2340;848;2288;32;127
0;2341;849;1504;384;127
0;2341;850;1904;32;127
0;2341;851;1968;176;127
0;2341;852;2176;32;127
0;2341;853;2240;16;127
0;2341;854;2288;16;127
0;2342;855;1376;400;127
0;2342;856;1872;240;127
0;2342;857;2176;32;127
0;2342;858;2240;32;127
0;2343;859;1264;384;127
0;2343;860;1664;16;127
0;2343;861;1824;192;127
0;2343;862;2048;32;127
0;2343;863;2096;32;127
0;2343;864;2176;32;127
0;2343;865;2304;16;127
0;2343;866;2416;32;127
0;2344;867;1168;384;127
0;2344;868;1728;256;127
0;2344;869;2000;16;127
0;2344;870;2048;32;127
0;2344;871;2096;32;127
0;2344;872;2192;16;127
0;2344;873;2240;32;127
0;2345;874;1088;32;127
0;2345;875;1136;336;127
0;2345;876;1664;144;127
0;2345;877;1824;64;127
0;2345;878;1904;96;127
0;2345;879;2048;64;127
0;2345;880;2176;32;127
0;2345;881;2240;48;127
0;2346;882;1008;320;127
0;2346;883;1616;16;127
